ym	stem	n_panel_records	n_raw_records	slice_bytes	tbi_bytes	elapsed_s	error
2024-01	20240107	48923	49219	25360573	520374	174.73	
2024-02	20240215	50736	50993	26229329	521042	159.26	
2024-03	20240317	53418	53709	27491002	525909	235.20	
2024-04	20240416	53453	53744	27509243	526430	210.69	
2024-05	20240514	55081	55401	28372551	535032	128.22	
2024-06	20240618	55159	55485	28423605	535339	173.25	
2024-07	20240716	55184	55510	28446619	535472	146.70	
2024-08	20240813	55683	56056	28723831	539548	217.05	
2024-09	20240917	55779	56152	28812266	539606	203.73	
2024-10	20241015						tbi: <urlopen error EOF occurred in violation of protocol (_ssl.c:1002)>
2024-11	20241111	55946	56320	28899464	540373	191.00	
2024-12	20241215	56328	56703	29163973	540508	185.86	
2025-01	20250115	57061	57466	29147712	546760	105.42	
2025-02	20250217	57388	57806	32485588	552766	100.65	
2025-03	20250317	59110	59562	33402645	553657	144.50	
2025-04	20250415	59184	59636	33437699	553835	252.90	
2025-05	20250521	59967	60442	34211970	560448	144.56	
2025-06	20250615	59995	60470	34226150	560274	165.95	
2025-07	20250715	60923	61442	34713399	564546	189.60	
2025-08	20250817	59235	61845	34358749	564835	117.57	
2025-09	20250915	59325	61935	34400263	565170	138.34	
2025-10	20251013	59884	62518	34682130	571701	172.50	
2025-11	20251116	60056	63046	34859777	605131	126.94	
2025-12	20251215						tbi: <urlopen error EOF occurred in violation of protocol (_ssl.c:1002)>
