gene	chrom	start	end	panel	condition
ABCB1	chr7	87503018	87713295	PharmGKB_VIP	Many drugs (digoxin, fexofenadine)
ABCG2	chr4	88090265	88158853	PharmGKB_VIP	Allopurinol, rosuvastatin
ACTA2	chr10	88935074	88997241	ACMG_SF_v3.2	Familial thoracic aortic aneurysm
ACTC1	chr15	34790230	34796212	ACMG_SF_v3.2	Hypertrophic / dilated cardiomyopathy
ACVRL1	chr12	51906724	51923387	ACMG_SF_v3.2	HHT type 2
ADRB1	chr10	114043866	114046904	PharmGKB_VIP	Beta-blocker response
APC	chr5	112707498	112846239	ACMG_SF_v3.2	Familial adenomatous polyposis
APOB	chr2	21001429	21044072	ACMG_SF_v3.2	Familial hypercholesterolemia
APOE	chr19	44905782	44909393	PharmGKB_VIP	Statin response, AD risk
ATP7B	chr13	51932612	52012137	ACMG_SF_v3.2	Wilson disease
BAG3	chr10	119651370	119677811	ACMG_SF_v3.2	Dilated cardiomyopathy
BMPR1A	chr10	86755785	86927982	ACMG_SF_v3.2	Juvenile polyposis
BRCA1	chr17	43044295	43170245	ACMG_SF_v3.2	Hereditary breast/ovarian cancer
BRCA2	chr13	32315474	32400266	ACMG_SF_v3.2	Hereditary breast/ovarian cancer
BTD	chr3	15642859	15686439	ACMG_SF_v3.2	Biotinidase deficiency
CACNA1S	chr1	201039727	201112013	ACMG_SF_v3.2	Malignant hyperthermia susceptibility
CACNA1S_pgx	chr1	201039727	201112013	PharmGKB_VIP	Malignant hyperthermia (anesthesia)
CASQ2	chr1	115700830	115772121	ACMG_SF_v3.2	CPVT
CFTR	chr7	117480025	117668665	PharmGKB_VIP	Ivacaftor responsiveness
COL3A1	chr2	188974372	189012745	ACMG_SF_v3.2	Vascular Ehlers-Danlos
COMT	chr22	19929262	19957498	PharmGKB_VIP	Levodopa, opioids, antipsychotics
CYP1A2	chr15	74748844	74756607	PharmGKB_VIP	Caffeine, theophylline
CYP2C19	chr10	94762700	94855547	PharmGKB_VIP	Clopidogrel, voriconazole, PPIs
CYP2C9	chr10	94938657	94989390	PharmGKB_VIP	Warfarin, NSAIDs, phenytoin
CYP2D6	chr22	42126499	42130881	PharmGKB_VIP	Many drugs (codeine, tamoxifen, antidepressants)
CYP3A4	chr7	99354604	99381888	PharmGKB_VIP	Many drugs (statins, immunosuppressants)
CYP3A5	chr7	99245814	99277621	PharmGKB_VIP	Tacrolimus
CYP4F2	chr19	15877814	15897801	PharmGKB_VIP	Warfarin
DPYD	chr1	97077741	97927507	PharmGKB_VIP	Fluoropyrimidines (5-FU, capecitabine)
DRD2	chr11	113280317	113346003	PharmGKB_VIP	Antipsychotic response
DSC2	chr18	31065317	31106820	ACMG_SF_v3.2	Arrhythmogenic cardiomyopathy
DSG2	chr18	31497290	31552108	ACMG_SF_v3.2	Arrhythmogenic cardiomyopathy
DSP	chr6	7541869	7586979	ACMG_SF_v3.2	Arrhythmogenic cardiomyopathy
ENG	chr9	127815013	127855059	ACMG_SF_v3.2	Hereditary hemorrhagic telangiectasia
F2	chr11	46719207	46739506	PharmGKB_VIP	Hormonal therapy / VTE risk
F5	chr1	169511950	169586746	PharmGKB_VIP	Hormonal therapy / VTE risk
